Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1913,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,JESSE FREDERICK STEINER,"Professor of Sociology, Tulane University, New Orleans, La.",The Japanese in America.
1913,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,EDWIN HARDIN SUTHERLAND,"Professor of Sociology, University of Chicago, Chicago, Ill.",Unemployment and Public Employment Agencies.
1914,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,MANUEL CONRAD ELMER,"Professor of Sociology, and Head of Department, University of Pittsburgh, Pittsburgh, Pa.",Social Surveys of Urban Communities.
1915,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,EARLE EDWARD EUBANK,"Professor of Sociology and Head of the Department of Sociology, and Director of the Program of Education for Social Work, University of Cincinnati, Cincinnati, Ohio.",A Study of Family Desertion.
1917,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,MAX SYLVIUS HANDMAN,"Professor of Economics, University of Texas, Austin, Tex.",The Beginnings of the Social Philosophy of Karl Marx.
1919,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CLARENCE DAN BLACHLEY,"Economic Analyst, U.S. Tariff Commission, Washington, D.C.",The Treatment of the Problem of Capital and Labor in Social Study Courses in the Churches.
1919,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,KISABURO KAWABE,"Professor of English, Law, and Economics, Matsuye National College, City of Matsuye, Tokyo-fu, Japan.",The Japanese Newspaper and Its Relation to the Political Development of Modern Japan.
1919,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,STUART ALFRED QUEEN,"Community Fund, 51 Warren Ave. W., Detroit, Mich.",The Passing of the County Jail.
1919,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,EDWARD BYRON REUTER,"Professor and Head of the Department of Sociology, State University of Iowa, Iowa City, Ia.",The Mulatto in the United States: a Sociological and Psychological Study.
1919,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,RALEIGH WEBSTER STONE,"Associate Professor of Industrial Relations, University of Chicago, Chicago, Ill.",The Origin of the Survey Movement.
1920,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,WALTER BLAINE BODENHAFER,"Professor and Head of the Department of Sociology, Washington University, St. Louis, Mo.",The Comparative Rôle of the Group Concept in Ward's Dynamic Sociology and Contemporary Sociology.
1920,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,MOLLIE RAY CARROLL,"Associate Professor of Social Economics and Executive Head of the University of Chicago Settlement, University of Chicago, Chicago, Ill.",The Attitude of the American Federation of Labor toward Legislation and Politics.
1920,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,JACOB HORAK,"Professor of Economics and Sociology, Heidelberg College, Tiffin, Ohio.",The Assimilation of Czechs in Chicago.
1920,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,HOWARD EIKENBERRY JENSEN,"Professor of Sociology, University of Missouri, Columbia, Mo.",The Rise of Religious Journalism in the United States.
1920,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,WILLIAM CARLSON SMITH,"Professor and Head of the Department of Sociology; Texas Christian University, Fort Worth, Tex.",Conflict and Fusion of Cultures as Typified by the Ao Nagas of India.
1921,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,RODERICK DUNCAN MCKENZIE,"Professor and Head of the Department of Sociology, University of Michigan, Ann Arbor, Mich.","The Neighborhood: A Study of Local Life in Columbus, Ohio."
1921,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CLARENCE ELMER RAINWATER,"(Died July 22, 1925.)",The Evolution of the Play Movement in the United States; Its Structure and Function.
1921,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,SAMUEL CALEB RATCLIFFE,"Professor in Sociology, Illinois Wesleyan University, Bloomington, Ill.",Pauper Law and Institutions in Illinois.
1921,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,DWIGHT SANDERSON,"Professor of Rural Social Organization, Cornell University. Ithaca, N.Y.",The Rural Community: A Social Unit.
1922,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,MARTIN HAYS BICKHAM,"Superintendent Central Placement Bureau for Handicapped Workers, Chicago, Ill.",The Scientific Antecedents of the Sociology of Auguste Comte.
1922,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,FREDERICK GERMAN DETWEILER,"Professor of Sociology and Head of the Department of Economics and Sociology, Denison University, Granville, Ohio.",The Negro Press in the United States.
1922,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,GEORGE S. H. Rossouw,"Board of Trade and Industries, Union Building, Pretoria, Transvaal, South Africa.",Nationalism and Language.
1923,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,NORMAN SYLVESTER HAYNER,"Assistant Professor of Sociology, University of Washington, Seattle, Wash.",The Sociology of Hotel Life.
1924,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,KENNETH EDWIN BARNHART,"Professor of Sociology, Birmingham-Southern College, Birmingham, Ála.",The Evolution of Social Consciousness in Methodism.
1924,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ERNEST THEODORE HILLER,"Associate Professor of Sociology and Chairman of Department, University of Illinois, Urbana, Ill.",The Strike as Group Behavior. A Study in the Process and Technique of Control of the Striking Group.
1924,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,FLOYD NELSON HOUSE,"Professor and Head of the Department of Sociology, University of Virginia, University, Va",Industrial Morale: An Essay in the Sociology of Industrial Control.
1924,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ERNEST RUSSELL MOWRER,"Instructor in Sociology, Northwestern University, Evanston, Ill.",Family Disorganization-An Introduction to a Sociological Analysis.
1924,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,MAURICE THOMAS PRICE,"Associate Professor of Sociology, University of Washington, Seattle, Wash.",Protestant Missions as Culture Contact.
1924,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ERLE FISKE YOUNG,"Professor of Sociology and Assistant Director of School of Social Welfare, University of Southern California, Los Angeles, Calif.",Race Prejudice.
1925,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,WILLIAM ANDREW DANIEL,"Research Secretary, American Missionary Association, 287 Fourth Ave., New York City.",Negro Theological Seminary Survey.
1925,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,FAY BERGER KARPF,"Professor, Jewish School for Social Work, New York, N.Y.",American Social Psychology and Its European Background.
1925,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ERNST THEODOR KRUEGER,"Professor and Head of Department of Sociology and Anthropology, Vanderbilt University, Nashville, Tenn.",Autobiographical Documents and Personality.
1925,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,WALTER CADE RECKLESS,"Assistant Professor of Sociology, Vanderbilt University, Nashville, Tenn.",The Natural History of Vice Areas in Chicago.
1925,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,PIETER KORNELIS ROEST,"Lecturer in Social Science, University of Toledo, Toledo, Ohio.",White Magic and Its Theories.
1925,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,TSI CHANG WANG,"Research Institute, 205 Du Roi Albert, French Concession, Shanghai, China.",The Youth Movement of China.
1926,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,HARMON OPDIKE DEGRAFF,"Head of the Department of Sociology, University of Akron, Akron, Ohio.",A Study of the Juvenile Court of Iowa with Special Reference to Des Moines.
1926,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CORNELIUS CICERO JANZEN,"Associate Professor of Economics, University of Maine, Orono, Me.","A Social Study of the Mennonite Settlement in the Counties of Marion, McPherson, Harvey, Reno, and Butler, Kansas."
1926,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,RUTH SHONLE,"(Mrs. Jordan T. Cavan), Rockford, Ill.",Suicide A Study of Personal Disorganization.
1926,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,EYLER NEWTON SIMPSON,"Institute of Current World Affairs, Apartado 538, Mexico City, Mexico.",Wishes: A Study in Social Psychology.
1926,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,FREDERIC MILTON THRASHER,"Associate Professor of Educational Sociology, School of Education, New York University, New York City.","The Gang: A Study of 1,313 Gangs in Chicago."
1926,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,LOUIS WIRTH,"Assistant Professor of Sociology, University of Chicago, Chicago, Ill.",The Ghetto: A Study in Isolation.
1927,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ERNEST HUGH SHIDELER,"Professor of Sociology and Economics, Franklin College, Franklin, Ind.",The Chain Store: A Study of the Ecological Organization of a Modern City.
1927,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,LESLIE A. WHITE,"Assistant Professor of Anthropology, University of Michigan, Ann Arbor, Mich.",Medicine Societies of the Southwest.
1928,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,HERBERT GEORGE BLUMER,"Associate Professor of Sociology, University of Chicago, Chicago, Ill.",Method in Social Psychology.
1928,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CHARLOTTE D. GOWER,"Assistant Professor of Anthropology, University of Wisconsin, Madison, Wis.",The Supernatural Patron in Sicilian Life.
1928,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,EVERETT CHERRINGTON HUGHES,"Assistant Professor of Sociology, McGill University, Montreal, Canada.",A Study of a Secular Institution: The Chicago Real Estate Board.
1928,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,TADAO KAWAMURA,"Professor of Sociology, 26 Sekeguchi Daimachi, Koishi Kawaku, Tokyo, Japan.",The Class Conflict in Japan as Affected by the Expansion of Japanese Industry and Trade.
1928,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,FRANC LEWIS MCCLUER,"Professor of Sociology and Economics Westminster College, Fulton, Mo.",Living Conditions among Wage-earning Families in Forty-one Blocks in Chicago (1923).
1928,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,JOHN HENRY MUELLER,"Associate Professor of Sociology, University of Oregon, Eugene, Ore.", 
1928,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ROBERT REDFIELD,"Associate Professor of Anthropology, University of Chicago, Chicago, Ill.","A Plan for the Study of Tepoztlán, Mexico."
1928,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CHING CHAO WU,"Professor of Sociology, Tsing Hua University, Peiping, China.",The Chinese in the United States.
1929,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,SAMUEL CLARENCE KINCHELOE,"Research Professor, Chicago Theological Seminary, Chicago, Ill.",The Prophet: A Study of the Sociology of Leadership.
1929,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,AUGUSTUS FREDERICK KUHLMAN,"Associate Director of Libraries, University of Chicago, Chicago, Ill.",Crime and Punishment in Missouri: A Study of the Social Forces in the Trial and Error Process of Penal Reform.
1929,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,THOMAS CARSON MCCORMICK,"Professor of Sociology, Oklahoma State College, Ada, Okla.",Rural Unrest: A Sociological Investigation of Rural Movement in the United States.
1929,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,MARTIN HENRY NEUMEYER,"Associate Professor of Sociology, University of Southern California, Los Angeles, Calif.",Conscience: A Socio-Psychological Study.
1930,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,HOWARD PAUL BECKER,"Instructor in Sociology, University of Pennsylvania, Philadelphia, Pa",Ionia and Athens: Studies in Secularization.
1930,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,WILLIAM OSCAR BROWN,"Instructor in Sociology, University of Cincinnati, Cincinnati, Ohio.",Race Prejudice: A Sociological Study.
1930,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,PAUL FREDERICK CRESSEY,"Institute of Social and Religious Research, 230 Park Avenue, New York, N.Y.",The Succession of Cultural Groups in the City of Chicago.
1930,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CARL M. ROSENQUIST,"Assistant Professor of Sociology, University of Texas, Austin, Tex.",A Sociological Study of the Swedes of Texas.
1930,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,EVERETT VERNER STONEQUIST,"Associate Professor of Sociology, Skidmore College, Saratoga Spring, N.Y.",The Marginal Man: A Study in the Subjective Aspects of Cultural Conflict.
1930,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,SAMUEL ANDREW STOUFFER,"Instructor in Sociology, University of Chicago, Chicago, Ill.",An Experimental Comparison of Statistical and Case History Methods of Attitude Research.
1930,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,WALTER THOMPSON WATSON,"Professor of Sociology, Southern Methodist University, Dallas, Tex.",Division of Labor: A Study in the Sociology and Social Psychology of Work Satisfaction.
1930,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ELLEN BLACK WINSTON,"211 Groveland Avenue, Raleigh, N.C.",A Statistical Study of Mental Disease.
1931,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CARROLL DEWITT CLARK, ,News: A Sociological Study.
1921,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,ALBERT CLAIRE HODGE,"Buying Department, A. G. Becker and Company, Chicago, Illinois.",Retail Cost Accounting.
1921,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,WALDO F. MITCHELL,"Professor and Acting Head, Department of Economics, De Pauw University, Greencastle, Indiana.",Bank Loans under the Federal Reserve System.
1925,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,JOHN FREEMAN PYLE,"Dean, College of Business Administration, and Professor of Economics and Marketing, Marquette University, Milwaukee, Wisconsin.",The Sales Place in Marketing Strategy.
1926,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,WILLIAM EUGENE DICKERSON,"Assistant Professor of Accounting, Ohio State University, Columbus, Ohio.",Organization and Control of the Illinois Bell Telephone Company.
1926,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,HENRY EZMOND SMITH,"Accountant, J. O. McKinsey and Company, Chicago, Illinois.",Organization and Administrative Procedures of the Peoples Gas Light and Čoke Company.
1927,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,WILLIAM JOHN REILLY,"Director of Research, The Erickson Company, New York City.",The Place of the Research Department of the Advertising Agency in Market Research.
1928,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,RICHARD NORMAN OWENS,"Professor of Accounting and Business Administration, George Washington University, Washington, D.C.","Business Cycles in the United States and England from 1866-1880, with Emphasis on the Depressions."
1928,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,ALFRED JAMES WEAVER,"Head of the Department of Economics, Centre College, Danville, Kentucky.",The Market News of the Grain Trade.
1929,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,CLARENCE RUFUS ROREM,"The Committee on the Cost of Medical Care, 910 Seventeenth Street, Washington, D.C.",The Problem of Value Measurement in Accounting.
1929,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,URSULA BATCHELDER STONE,"5715 Kimbark Avenue, Chicago, Illinois.",The Baking Industry with Special Reference to the Bread-Making Industry in Chicago.
1929,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,JOHN BROWNSON WATKINS,"Sales Engineer, Commonwealth Edison Company, Chicago, Illinois.",Railway Organization.
1929,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,THEODORE OTTE YNTEMA,"Professor of Statistics, University of Chicago, Chicago, Illinois.",A Mathematical Reformulation of the General Theory of International Trade.
1930,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,CHARLES LASELLE JAMISON,"Professor, School of Business Administration, University of Michigan, Ann Arbor, Michigan.",Liquidity and Profits of Unit Banks.
1930,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,RALPH RUSSELL PICKETT,"Assistant Professor, Kansas State Teachers College, Emporia, Kansas.",Federal Reserve Bank Policy in Iowa.
1930,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,HENRY JOSEPH REHN,"Associate Professor of Accounting and Management, School of Business Administration, University of Texas, Austin, Texas.",Scientific Management and the Cotton Textile Industry.
1930,THE PROFESSIONAL SCHOOLS,THE SCHOOL OF COMMERCE AND ADMINISTRATION,PETER THEODORE SWANISH,"Professor of Economics and Accounting, Loyola University, Chicago, Illinois.",The Taxation of Agricultural Classes in Soviet Russia.
